Module,Entity,Schema,Table,Resolution
AITutor,LearningRecommendationEntity,ai_tutor,learning_recommendation,exact
AITutor,QuizAttemptEntity,ai_tutor,student_quiz_attempt,semantic
AITutor,TutorMessageEntity,ai_tutor,tutor_message,exact
AITutor,TutorSessionEntity,ai_tutor,tutor_session,exact
AITutor,GeneratedQuizEntity,ai_tutor,generated_quiz,exact
AITutor,StudentTopicMasteryEntity,ai_tutor,student_topic_mastery,exact
AITutor,TutorConversationEntity,ai_tutor,tutor_conversation,exact
Organization,CampusEntity,org,campus,exact
Organization,SchoolDocumentEntity,public,schooldocument,exact
Organization,DepartmentEntity,org,department,exact
Organization,SchoolEntity,,,UNRESOLVED
Learning,AssignmentEntity,lms,academic_assignment,semantic
Learning,LessonEntity,,,UNRESOLVED
Learning,LearningResourceEntity,,,UNRESOLVED
Learning,AssignmentSubmissionEntity,lms,student_assignment_submission,semantic
Inventory,PurchaseOrderEntity,,,UNRESOLVED
Inventory,StockTransactionEntity,,,UNRESOLVED
Inventory,ItemEntity,inventory,item,exact
Activities,AwardEntity,activity,student_award,semantic
Activities,StudentOfMonthEntity,,,UNRESOLVED
Activities,ActivityEntity,activity,activity,exact
Activities,StudentActivityEntity,activity,student_activity,exact
Audit,AuditLogEntity,audit,audit_log,exact
Library,BookCopyEntity,library,book_copy,exact
Library,LoanEntity,library,book_loan,semantic
Library,ReservationEntity,,,UNRESOLVED
Library,BookEntity,library,book,exact
Identity,RoleAssignmentEntity,,,UNRESOLVED
Identity,UserProfileEntity,,,UNRESOLVED
HR,TeacherDirectoryReadEntity,public,teacherdirectoryread,exact
HR,CandidateEntity,hr,candidate,exact
HR,EmployeeDocumentEntity,document,employeedocument,semantic
HR,JobGradeEntity,hr,job_grade,exact
HR,EmployeeEntity,hr,employee,exact
HR,ResumeEntity,,,UNRESOLVED
HR,TeacherProfileEntity,,,UNRESOLVED
HR,TeacherDocumentEntity,document,teacherdocument,semantic
HR,PayrollProfileEntity,,,UNRESOLVED
HR,JobEntity,hr,job,exact
HR,CandidateDocumentEntity,document,candidatedocument,semantic
HR,InterviewEntity,hr,interview,exact
HR,PositionEntity,hr,position,exact
HR,EmploymentHistoryEntity,,,UNRESOLVED
HR,LeaveRequestEntity,teacher,leave_request,semantic
AIInquiry,LeadCaptureEntity,ai_inquiry,lead_capture,exact
AIInquiry,HumanHandoffEntity,ai_inquiry,human_handoff,exact
AIInquiry,InquiryConversationEntity,ai_inquiry,inquiry_conversation,exact
AIInquiry,InquiryMessageEntity,ai_inquiry,inquiry_message,exact
Finance,FeeStructureEntity,,,UNRESOLVED
Finance,StudentFeeEntity,,,UNRESOLVED
Finance,InvoiceEntity,finance,student_invoice,semantic
Finance,DiscountEntity,,,UNRESOLVED
Finance,FeeTypeEntity,finance,fee_type,exact
Finance,PaymentEntity,finance,student_payment,semantic
Finance,ScholarshipEntity,,,UNRESOLVED
AICore,PromptTemplateEntity,ai_core,prompt_template,exact
AICore,KnowledgeCollectionEntity,ai_core,knowledge_collection,exact
AICore,KnowledgeChunkEntity,ai_core,knowledge_chunk,exact
AICore,ToolDefinitionEntity,ai_core,tool_definition,exact
AICore,ModelConfigurationEntity,ai_core,model_configuration,exact
AICore,AiExecutionLogEntity,ai_core,ai_execution_log,exact
AICore,KnowledgeDocumentEntity,ai_core,knowledge_document,exact
Students,StudentGuardianEntity,student,student_guardian,exact
Students,StudentDocumentEntity,document,studentdocument,semantic
Students,StudentDirectoryReadEntity,public,studentdirectoryread,exact
Students,StudentEntity,student,student,exact
Students,ParentDocumentEntity,document,parentdocument,semantic
Students,GuardianEntity,student,guardian,exact
Students,ParentProfileEntity,,,UNRESOLVED
Students,StudentProfileEntity,,,UNRESOLVED
Students,AttendanceEntity,,,UNRESOLVED
Students,EnrollmentEntity,student,student_enrollment,semantic
AIParent,ParentToolExecutionEntity,ai_parent,parent_tool_execution,exact
AIParent,ParentConversationEntity,ai_parent,parent_conversation,exact
AIParent,ParentMessageEntity,ai_parent,parent_message,exact
AIPrediction,StudentPerformancePredictionEntity,ai,student_performance_prediction,exact
AIPrediction,ClassPerformanceInsightEntity,ai,class_performance_insight,exact
AIPrediction,MlPredictionResultEntity,ai,prediction_model,semantic
AIPrediction,TeachingRecommendationEntity,ai,teaching_recommendation,exact
AIPrediction,PredictionEvidenceEntity,ai,prediction_evidence,exact
AIPrediction,PredictionEvaluationEntity,ai,prediction_evaluation,exact
AIPrediction,MlExamPredictionEntity,ai,prediction,semantic
AIPrediction,TopicPerformanceInsightEntity,ai,topic_performance_insight,exact
AIPrediction,StudentInterventionEntity,ai,student_intervention,exact
AIPrediction,PredictionModelEntity,ai,prediction_model,exact
Documents,SchoolLogoEntity,,,UNRESOLVED
Documents,DocumentTypeEntity,document,documenttype,exact
Documents,CertificateEntity,,,UNRESOLVED
Documents,DocumentTemplateEntity,document,document_template,exact
